date_time,stid,relative_humidity_high,air_temp_high,heat_index_high,relative_humidity_low,air_temp_low,heat_index_low,lon,lat,geometry
2020-09-14,KLAX,88.2,77.0,76.77444000000001,47.06,60.8,60.71318,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-15,KLAX,88.11,75.2,75.47406000000001,53.62,62.6,62.43843999999999,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-16,KLAX,82.52,80.6,80.5428528461643,34.21,62.6,62.194509999999994,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-17,KLAX,100.0,82.4,81.21281129857101,22.86,62.6,62.43843999999999,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-18,KLAX,88.11,87.8,86.6012588715943,30.43,62.6,62.43843999999999,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-19,KLAX,88.2,77.0,77.27687,53.62,64.4,64.68117000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-20,KLAX,100.0,73.4,73.48372,64.32,60.08,60.1966,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-21,KLAX,93.89,73.4,73.48372,60.75,64.04,64.36460000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-22,KLAX,88.11,73.4,73.48372,63.9,64.04,64.07743,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-23,KLAX,100.0,75.2,75.47406000000001,64.76,62.6,62.970479999999995,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-24,KLAX,100.0,80.6,81.12273420590465,44.89,60.8,61.28,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-25,KLAX,100.0,73.94,74.1595,64.76,64.04,64.66963000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-26,KLAX,93.89,77.0,77.10015,57.45,64.4,64.68117000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-27,KLAX,88.2,73.94,74.1595,64.76,66.2,66.41019,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-28,KLAX,93.89,75.2,75.67287,64.98,64.4,64.68117000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-29,KLAX,96.29,80.6,81.12273420590465,44.89,64.04,64.52863,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-09-30,KLAX,88.29,91.4,88.10572297705951,22.06,66.02,66.16908000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-01,KLAX,69.01,91.4,89.55624418770265,21.37,66.92,66.50048000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-02,KLAX,93.94,91.94,89.56981339662893,21.37,66.2,66.6654,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-03,KLAX,82.89,86.0,84.19699345455103,33.11,66.2,65.94066000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-04,KLAX,100.0,82.4,83.42217162169118,42.34,62.06,62.666000000000004,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-05,KLAX,93.98,77.0,77.31353,57.45,64.94,65.51957,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-06,KLAX,100.0,84.2,85.04961603026649,45.17,62.6,62.970479999999995,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-07,KLAX,93.94,73.4,73.68347000000001,64.76,62.6,62.970479999999995,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-08,KLAX,88.11,73.4,73.11665,53.36,64.4,64.68117000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-09,KLAX,88.11,73.4,73.11665,56.95,64.04,64.07743,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-10,KLAX,82.77,73.4,73.48372,56.95,64.4,64.18156,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-11,KLAX,93.84,73.4,73.48372,60.75,60.8,60.71318,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-12,KLAX,93.89,80.6,81.46686097119401,44.89,62.6,62.69694,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-13,KLAX,82.77,86.0,83.777734773844,28.99,64.4,63.952200000000005,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-14,KLAX,88.29,84.02,83.42059912818425,27.54,64.4,64.68117000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-15,KLAX,93.94,82.4,82.09146276293136,31.97,64.04,64.36460000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-16,KLAX,100.0,80.6,81.85220330697601,54.4,62.6,62.970479999999995,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-10-17,KLAX,100.0,80.6,82.28360527211623,57.69,64.04,64.84400000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
